Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Palau,PLW,"Population, total",SP.POP.TOTL,17792,17783,17759,17727
Panama,PAN,"Population, total",SP.POP.TOTL,4293261,4345405,4400773,4458759
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,9815746,10012896,10203169,10389635
Paraguay,PRY,"Population, total",SP.POP.TOTL,6603739,6684182,6760464,6844146
Peru,PER,"Population, total",SP.POP.TOTL,32838579,33155882,33475438,33845617
Philippines,PHL,"Population, total",SP.POP.TOTL,112081264,113100950,113964338,114891199
Poland,POL,"Population, total",SP.POP.TOTL,37515748,36981559,36821749,36687353
Portugal,PRT,"Population, total",SP.POP.TOTL,10297081,10361831,10434332,10578174
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1117025276,1116609473,1117926537,1121892872
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,998624261,1024960313,1051201551,1078224044
Puerto Rico (US),PRI,"Population, total",SP.POP.TOTL,3281590,3262711,3220137,3203792
Qatar,QAT,"Population, total",SP.POP.TOTL,2794148,2504910,2657333,2656032
Romania,ROU,"Population, total",SP.POP.TOTL,19265250,19122059,19048502,19059479
Russian Federation,RUS,"Population, total",SP.POP.TOTL,145245148,144746762,144236933,143826130
Rwanda,RWA,"Population, total",SP.POP.TOTL,13065837,13355260,13651030,13954471
Samoa,WSM,"Population, total",SP.POP.TOTL,211944,213779,215261,216663
San Marino,SMR,"Population, total",SP.POP.TOTL,34770,34252,33755,33860
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,217435,221961,226305,230871
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,31552510,30784383,32175224,33702731
Senegal,SEN,"Population, total",SP.POP.TOTL,16789219,17220867,17651103,18077573
Serbia,SRB,"Population, total",SP.POP.TOTL,6899126,6834326,6664449,6623183
Seychelles,SYC,"Population, total",SP.POP.TOTL,98462,99258,119878,119773
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7912558,8094602,8276807,8460512
Singapore,SGP,"Population, total",SP.POP.TOTL,5685807,5453566,5637022,5917648
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,41008,41571,42139,42749
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5458827,5447247,5431752,5426740
Slovenia,SVN,"Population, total",SP.POP.TOTL,2102419,2108079,2112076,2120461
Small states,SST,"Population, total",SP.POP.TOTL,19472157,19646549,19852364,20051342
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,744498,762591,781066,800005
Somalia,SOM,"Population, total",SP.POP.TOTL,16651191,17271431,17801897,18358615
South Africa,ZAF,"Population, total",SP.POP.TOTL,60562381,61502603,62378410,63212384
South Asia,SAS,"Population, total",SP.POP.TOTL,1621073417,1634785356,1648009565,1662580579
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1621073417,1634785356,1648009565,1662580579
South Sudan,SSD,"Population, total",SP.POP.TOTL,10698467,10865780,11021177,11483374
Spain,ESP,"Population, total",SP.POP.TOTL,47359424,47443821,47786102,48347910
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21919000,22156000,22181000,22037000
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,46870,46763,46709,46758
St. Lucia,LCA,"Population, total",SP.POP.TOTL,178250,178522,178781,179285
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,31786,29961,28870,27515
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,103526,102841,102046,101323
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1169015451,1199011925,1229208573,1259902353
